# curie_map:
#   euaiact: "https://w3id.org/bom/reg/euaiact/"
#   bom: "https://w3id.org/bom/"
#   mldcatap: "http://data.europa.eu/it6/"
#   dcat: "http://www.w3.org/ns/dcat#"
#   dcterms: "http://purl.org/dc/terms/"
#   mls: "http://www.w3.org/ns/mls#"
#   adms: "http://www.w3.org/ns/adms#"
#   prov: "http://www.w3.org/ns/prov#"
#   foaf: "http://xmlns.com/foaf/0.1/"
#   eu-aiact: "https://w3id.org/dpv/legal/eu/aiact#"
#   dpv: "https://w3id.org/dpv#"
#   schema: "https://schema.org/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: "https://w3id.org/bom/mapping/euaiact-anx8-a-to-semic"
# mapping_set_version: "0.1.0"
# mapping_set_title: "EU AI Act Annex VIII Section A (Art.49(1)) <-> SEMIC vocabularies"
# mapping_set_description: "Maps the 13 information items of Annex VIII Section A (provider of high-risk AI systems, Art.49(1)) to MLDCAT-AP 3.1.0, Schema.org and DPV EU AI Act. The bom: bridge concept in see_also provides the shared abstraction."
# license: "https://creativecommons.org/publicdomain/zero/1.0/"
# creator_id:
#   - "orcid:0000-0002-9698-1899"
# mapping_date: "2026-06-17"
# subject_source: "https://w3id.org/bom/reg/euaiact/anx8-a/"
# object_source: "https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/"
# see_also:
#   - "https://w3id.org/bom/"
#   - "https://digital-strategy.ec.europa.eu/en/library/eu-artificial-intelligence-act"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	see_also	comment
euaiact:anx8-a1-provider-info	Provider information (A.1)	skos:closeMatch	dcterms:publisher	Publisher	semapv:ManualMappingCuration	bom:component-supplier	AI system provider (manufacturer/developer) maps to the entity responsible for making the ML model available; dcterms:publisher used on mldcatap:MachineLearningModel
euaiact:anx8-a1-provider-info	Provider information (A.1)	skos:relatedMatch	mldcatap:MachineLearningModel	MachineLearningModel	semapv:ManualMappingCuration	bom:bom-ai	The provider registers an ML model described as a mldcatap:MachineLearningModel instance; the registration item as a whole relates to this class
euaiact:anx8-a2-submitter	Submitter on behalf of provider (A.2)	skos:relatedMatch	prov:actedOnBehalfOf	actedOnBehalfOf	semapv:ManualMappingCuration	bom:component-supplier	Submitter acting on behalf of the provider; PROV-O delegation relationship; MLDCAT-AP inherits prov: via dataset provenance chain
euaiact:anx8-a3-authorised-rep	EU authorised representative (A.3)	skos:relatedMatch	prov:actedOnBehalfOf	actedOnBehalfOf	semapv:ManualMappingCuration	bom:component-supplier	Authorised representative is a delegated agent; no dedicated MLDCAT-AP property — prov:actedOnBehalfOf on a foaf:Agent is the closest representation
euaiact:anx8-a4-system-identity	System trade name and version (A.4)	skos:closeMatch	dcterms:title	Title	semapv:ManualMappingCuration	bom:component-name	Trade name of the AI system maps to dcterms:title on mldcatap:MachineLearningModel
euaiact:anx8-a4-system-identity	System trade name and version (A.4)	skos:closeMatch	dcterms:identifier	Identifier	semapv:ManualMappingCuration	bom:component-identifier	System identifier/version number maps to dcterms:identifier on mldcatap:MachineLearningModel; version specifically to dcat:version
euaiact:anx8-a4-system-identity	System trade name and version (A.4)	skos:closeMatch	dcat:version	Version	semapv:ManualMappingCuration	bom:component-version	Version string of the AI system maps to dcat:version on mldcatap:MachineLearningModel
euaiact:anx8-a5-purpose-and-functions	Intended purpose and functions (A.5)	skos:closeMatch	mldcatap:intendedUse	intendedUse	semapv:ManualMappingCuration	bom:ai-application-domain	Intended purpose of the AI system maps directly to MachineLearningModel.intendedUse in MLDCAT-AP 3.1.0
euaiact:anx8-a5-purpose-and-functions	Intended purpose and functions (A.5)	skos:relatedMatch	dcterms:description	Description	semapv:ManualMappingCuration	bom:component-description	Free-text description of functions also maps to dcterms:description on MachineLearningModel
euaiact:anx8-a6-data-and-logic	Data and logic description (A.6)	skos:closeMatch	mldcatap:designSpecifications	designSpecifications	semapv:ManualMappingCuration	bom:ai-data-usage	Training data and algorithmic logic description maps to MachineLearningModel.designSpecifications in MLDCAT-AP 3.1.0
