# curie_map:
#   bom: "https://w3id.org/bom/"
#   cdx: "http://cyclonedx.org/schema/bom/1.7b#"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: "https://w3id.org/bom/mapping/bom-to-cyclonedx17"
# mapping_set_version: "0.1.0"
# mapping_set_title: "SBOM Bridge Concepts <-> CycloneDX 1.7"
# mapping_set_description: "Maps each concept in the document bridge ontology (bom.ttl) to the corresponding element or property in the CycloneDX 1.7 specification."
# license: "https://creativecommons.org/publicdomain/zero/1.0/"
# extension_slot: object_qualifier
# extension_slot_uri: https://w3id.org/bom/vocab/object_qualifier
# creator_id:
#   - "orcid:0000-0002-9698-1899"
# mapping_date: "2026-07-25"
# subject_source: "https://w3id.org/bom/"
# object_source: "http://cyclonedx.org/schema/bom/1.7b"
# see_also:
#   - "http://cyclonedx.org/schema/bom/1.7b"
#   - "https://w3id.org/bom/"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	see_also	comment	object_qualifier
bom:bom-document	Bill of Materials Document	skos:closeMatch	cdx:bom	bom	semapv:ManualMappingCuration		The BOM document corresponds to the root bom element in CycloneDX 1.7.	cdx:bom
bom:bom-component	Component	skos:closeMatch	cdx:component	component	semapv:ManualMappingCuration		Generic component element in CycloneDX representing software, hardware, data, or AI models.	cdx:Component
bom:bom-sw	Software Component	skos:closeMatch	cdx:type	type	semapv:ManualMappingCuration		Software components are represented as Component elements with type application, framework, library, container, etc.	cdx:Component
bom:bom-ai	AI System and Model	skos:closeMatch	cdx:machineLearningModel	machineLearningModel	semapv:ManualMappingCuration		AI systems and models are represented using the machineLearningModel element on a Component.	cdx:Component
bom:bom-dataset	Dataset	skos:closeMatch	cdx:data	data	semapv:ManualMappingCuration		Datasets are represented using data elements or Component with type data.	cdx:Component
bom:bom-infra	Infrastructure	skos:relatedMatch	cdx:service	service	semapv:ManualMappingCuration		Infrastructure components are represented as services or platform components.	cdx:Service
bom:bom-security	Security	skos:relatedMatch	cdx:vulnerabilities	vulnerabilities	semapv:ManualMappingCuration		Security aspects are represented via top-level vulnerabilities, declarations, or formulations.	cdx:bom
bom:doc-author	Document author	skos:exactMatch	cdx:authors	authors	semapv:ManualMappingCuration		Metadata.authors specifies the author(s) of the CycloneDX document.	cdx:Metadata
bom:doc-timestamp	Document timestamp	skos:exactMatch	cdx:timestamp	timestamp	semapv:ManualMappingCuration		Metadata.timestamp records when the document was created.	cdx:Metadata
bom:doc-lifecycle-stage	SBOM lifecycle stage	skos:closeMatch	cdx:lifecycles	lifecycles	semapv:ManualMappingCuration		Metadata.lifecycles specifies the product lifecycle phase in which the BOM was created.	cdx:Metadata
