# curie_map:
#   bsi: "https://w3id.org/bom/req/bsi/"
#   bom: "https://w3id.org/bom/"
#   spdx3-core: "https://spdx.org/rdf/3/terms/Core/"
#   spdx3-sw: "https://spdx.org/rdf/3/terms/Software/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: "https://w3id.org/bom/mapping/bsi-to-spdx31"
# mapping_set_version: "0.1.0"
# mapping_set_title: "BSI TR-03183-2 BOM Information Requirements <-> SPDX 3.1-dev"
# mapping_set_description: "Maps the 20 data-field concepts defined in BSI Technical Guideline TR-03183-2 v2.1.0 (2025-08-20) to classes and properties in the SPDX 3.1-dev specification. Provision types (REQUIRED, CONDITIONAL, OPTIONAL) are recorded in bsi.ttl via bom:provisionType; this file focuses on semantic alignment and gap analysis. The see_also column cites the neutral bridge concept from bom.ttl. GAP comments mark BSI fields with no equivalent in SPDX 3.1-dev."
# license: "https://creativecommons.org/publicdomain/zero/1.0/"
# extension_slot: object_qualifier
# extension_slot_uri: https://w3id.org/bom/vocab/object_qualifier
# creator_id:
#   - "orcid:0000-0002-9698-1899"
# mapping_date: "2026-06-17"
# subject_source: "https://w3id.org/bom/req/bsi/"
# object_source: "https://spdx.github.io/spdx-spec/v3.1-dev/"
# see_also:
#   - "https://bsi.bund.de/dok/TR-03183-en"
#   - "https://spdx.github.io/spdx-spec/v3.1-dev/"
#   - "https://w3id.org/bom/"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	see_also	comment	object_qualifier
bsi:doc-creator	Creator of the Document	skos:exactMatch	spdx3-core:createdBy	createdBy	semapv:ManualMappingCuration	bom:doc-author	BSI REQUIRED. CreationInfo.createdBy captures the agent(s) — Person, Organisation, or Tool — that created the document. BSI requires an email address or URL; SPDX Agent carries contact info via Agent.externalIdentifier. Exact semantic match.	spdx3-core:CreationInfo
bsi:doc-timestamp	Timestamp	skos:exactMatch	spdx3-core:created	created	semapv:ManualMappingCuration	bom:doc-timestamp	BSI REQUIRED. CreationInfo.created is a mandatory xsd:dateTime recording when the document was compiled. BSI specifies UTC; SPDX strongly recommends UTC. Exact semantic match.	spdx3-core:CreationInfo
bsi:doc-uri	BOM-URI	skos:closeMatch	spdx3-core:spdxId	spdxId	semapv:ManualMappingCuration	bom:doc-identifier	BSI CONDITIONAL (if it exists). The spdxId of the Sbom element serves as its persistent IRI. closeMatch because in SPDX 3.x every element always has a mandatory spdxId, whereas BSI's BOM-URI is optional (required only if a URI has been assigned to the document).	spdx3-sw:Sbom
bsi:component-creator	Component creator	skos:closeMatch	spdx3-core:originatedBy	originatedBy	semapv:ManualMappingCuration	bom:component-supplier	BSI REQUIRED. BSI 'creator' is the entity that authored and maintains the component (developer/author role). Artifact.originatedBy (→ Agent) captures the original creator; Artifact.suppliedBy covers the distributor. closeMatch because BSI creator = originatedBy; note: BSI requires an email address, available via Agent.externalIdentifier (type: email).	spdx3-core:Artifact
bsi:component-creator	Component creator	skos:relatedMatch	spdx3-core:suppliedBy	suppliedBy	semapv:ManualMappingCuration	bom:component-supplier	BSI REQUIRED. suppliedBy covers the distribution/provision role of a supplier; relatedMatch when the BSI component creator is also the party supplying the component rather than the original developer.	spdx3-core:Artifact
bsi:component-name	Component name	skos:exactMatch	spdx3-core:name	name	semapv:ManualMappingCuration	bom:component-name	BSI REQUIRED. Element.name on a Software.Package element carries the component name. BSI note: if the component has no assigned name, the filename MUST be used — same field in SPDX. Exact semantic match.	spdx3-core:Element
bsi:component-version	Component version	skos:exactMatch	spdx3-sw:packageVersion	packageVersion	semapv:ManualMappingCuration	bom:component-version	BSI REQUIRED. Software.Package.packageVersion carries the version string. BSI recommends SemVer or CalVer. Exact semantic match.	spdx3-sw:Package
bsi:component-filename	Filename of the component	skos:narrowMatch	spdx3-core:name	name	semapv:ManualMappingCuration	bom:component-filename	BSI REQUIRED. GAP: SPDX 3.x removed the SPDX 2.x PackageFileName field. The filename of the deployed component must be represented by creating a software_File element (with Element.name = the filename) linked to the Package via a Relationship of type hasDistributionArtifact. This is an indirect two-hop mapping; no single Package-level filename property exists in SPDX 3.1-dev. narrowMatch to spdx3-core:name on spdx3-sw:File.	spdx3-sw:File
bsi:component-filename	Filename of the component	skos:relatedMatch	spdx3-core:Relationship	Relationship	semapv:ManualMappingCuration	bom:component-filename	The hasDistributionArtifact Relationship type links a Package to its deployed File artifact. The filename lives on the File element reached via this relationship.	spdx3-core:Relationship
bsi:component-dependencies	Dependencies on other components	skos:closeMatch	spdx3-core:Relationship	Relationship	semapv:ManualMappingCuration	bom:component-relationship	BSI REQUIRED. Dependency relationships (DEPENDS_ON, CONTAINS) are expressed as Relationship elements. BSI explicitly requires a completeness indication; SPDX 3.1 Relationship.completeness (vocabulary: complete, incomplete, noAssertion, unknown) covers this requirement. closeMatch because the set of Relationship elements plus their completeness annotation satisfies BSI fully.	spdx3-core:Relationship
bsi:component-dependencies	Dependencies on other components	skos:exactMatch	spdx3-core:completeness	completeness	semapv:ManualMappingCuration	bom:component-relationship	BSI REQUIRED. Relationship.completeness explicitly records whether the dependency list is complete. BSI mandates this indication; SPDX 3.1-dev has this field natively. Exact semantic match for the completeness sub-requirement.	spdx3-core:Relationship
bsi:component-distribution-license	Distribution licences (concluded)	skos:closeMatch	spdx3-core:Relationship	Relationship	semapv:ManualMappingCuration	bom:component-license	BSI REQUIRED. The 'distribution licence' is the licence under which a downstream recipient may use the component (concluded licence). In SPDX 3.x this is expressed via a Relationship element with RelationshipType.hasConcludedLicense linking the Package to an AnyLicenseInfo element (SPDX expression). closeMatch because the semantics align but the representation is a separate Relationship element rather than a direct property.	spdx3-core:Relationship
bsi:component-hash-deployable	Hash value of the deployable component	skos:closeMatch	spdx3-core:verifiedUsing	verifiedUsing	semapv:ManualMappingCuration	bom:component-hash	BSI REQUIRED. BSI mandates a SHA-512 hash of the deployed component. Artifact.verifiedUsing (→ Hash) carries the digest. The Hash.algorithm field should be set to HashAlgorithm.sha512; Hash.hashValue carries the hex digest. closeMatch because the BSI SHA-512 constraint is narrower than SPDX's open algorithm vocabulary.	spdx3-core:Artifact
bsi:component-hash-deployable	Hash value of the deployable component	skos:closeMatch	spdx3-core:algorithm	algorithm	semapv:ManualMappingCuration	bom:component-hash	BSI REQUIRED. Hash.algorithm within verifiedUsing identifies the hash algorithm. BSI mandates SHA-512 specifically; SPDX HashAlgorithm vocabulary includes sha512. closeMatch — SPDX supports the required algorithm but does not mandate it.	spdx3-core:Hash
bsi:is-executable	Is executable	skos:relatedMatch	spdx3-sw:primaryPurpose	primaryPurpose	semapv:ManualMappingCuration	bom:is-executable	BSI REQUIRED. PARTIAL FIT. BSI defines a binary 'executable' / 'non-executable' flag for the deployed component file. SPDX Software.Package.primaryPurpose (and additionalPurpose) uses the SoftwarePurpose vocabulary, which includes 'executable' as one of many purpose values. However: (1) SoftwarePurpose.executable in SPDX means the primary purpose is to be run as an application, not that the file can be loaded/executed; a shared library is 'executable' in the BSI sense but 'library' in SPDX purpose. (2) SPDX has no dedicated boolean is-executable flag. relatedMatch; residual gap for non-application executables (libraries, scripts).	spdx3-sw:Package
bsi:is-archive	Is archive	skos:relatedMatch	spdx3-sw:primaryPurpose	primaryPurpose	semapv:ManualMappingCuration	bom:is-archive	BSI REQUIRED. PARTIAL FIT. BSI defines a binary 'archive' / 'no archive' flag. SPDX SoftwarePurpose vocabulary includes 'archive' as a purpose value. The same mismatch as is-executable applies: SPDX purpose = classification of intended use, BSI flag = structural characteristic of the file. A container image might be an 'archive' (BSI) but have purpose 'container' in SPDX. relatedMatch; same residual gap pattern.	spdx3-sw:Package
bsi:is-structured	Is structured	skos:relatedMatch	spdx3-sw:primaryPurpose	primaryPurpose	semapv:ManualMappingCuration	bom:is-structured	BSI REQUIRED. GAP: SPDX 3.1-dev has no equivalent for the BSI 'structured' / 'unstructured' distinction. BSI uses this to indicate whether an archive's internal component metadata is still recoverable (structured: e.g. zip, rpm, container) vs. not recoverable (unstructured: e.g. compiled firmware image). The closest SPDX terms are SoftwarePurpose.container or SoftwarePurpose.archive for structured types and SoftwarePurpose.firmwareBlob for unstructured, but these are purpose categories not a structural metadata flag. CycloneDX addresses this via the BSI property taxonomy (bsi:component:structured key). This is a genuine gap in SPDX 3.1-dev.	spdx3-sw:Package
bsi:component-source-uri	Source code URI	skos:closeMatch	spdx3-core:externalRef	externalRef	semapv:ManualMappingCuration	bom:component-external-ref	BSI CONDITIONAL (if it exists). A versioned source code URI (e.g. repository URL with tag) is expressed via Element.externalRef with ExternalRefType.vcs (version control system) or ExternalRefType.sourceArtifact. closeMatch because SPDX covers this use case precisely via externalRef; the URI value maps to ExternalRef.locator.	spdx3-core:Element
bsi:component-distribution-uri	URI of the deployable form of the component	skos:closeMatch	spdx3-core:externalRef	externalRef	semapv:ManualMappingCuration	bom:component-external-ref	BSI CONDITIONAL (if it exists). A URI pointing to the downloadable/deployable artifact is expressed via Element.externalRef with ExternalRefType.altDownloadLocation or ExternalRefType.binaryArtifact. closeMatch — SPDX covers this use case; note that SPDX 2.x PackageDownloadLocation was replaced by externalRef in SPDX 3.x.	spdx3-core:Element
bsi:component-identifiers	Other unique identifiers	skos:exactMatch	spdx3-sw:packageUrl	packageUrl	semapv:ManualMappingCuration	bom:component-identifier	BSI CONDITIONAL (if they exist). BSI cites CPE, SWID, PURL as examples. For PURL: Software.Package.packageUrl is an exact match (dedicated PURL field). Exact match for the PURL case.	spdx3-sw:Package
bsi:component-identifiers	Other unique identifiers	skos:closeMatch	spdx3-core:externalIdentifier	externalIdentifier	semapv:ManualMappingCuration	bom:component-identifier	BSI CONDITIONAL (if they exist). For CPE and SWID: Element.externalIdentifier (→ ExternalIdentifier) with ExternalIdentifierType.cpe22Type, cpe23Type, or swid covers these cases. closeMatch for the non-PURL identifier cases.	spdx3-core:Element
bsi:component-original-license	Original licences (declared)	skos:closeMatch	spdx3-core:Relationship	Relationship	semapv:ManualMappingCuration	bom:component-license	BSI CONDITIONAL (if it exists). The 'original licence' is the licence declared by the upstream component creator (declared/upstream licence). In SPDX 3.x this is expressed via a Relationship with RelationshipType.hasDeclaredLicense linking to AnyLicenseInfo. closeMatch; same indirect representation as distribution-license.	spdx3-core:Relationship
bsi:component-license-effective	Effective licence	skos:relatedMatch	spdx3-core:Relationship	Relationship	semapv:ManualMappingCuration	bom:component-license	BSI OPTIONAL. PARTIAL FIT. The 'effective licence' is the licence under which the current SBOM creator (the licensee) actually uses the component — a perspective specific to the consumer's context. SPDX 3.x hasConcludedLicense is the nearest concept (the analyst's conclusion about what licence applies) but represents a different perspective: concluded = analyst's determination of the legally applicable licence, not the licensee's actual in-use licence. relatedMatch; residual gap for the licensee-perspective semantics.	spdx3-core:Relationship
bsi:component-hash-source	Hash value of the source code	skos:closeMatch	spdx3-core:verifiedUsing	verifiedUsing	semapv:ManualMappingCuration	bom:component-hash	BSI OPTIONAL. A hash of the source code (algorithm not yet standardised in TR-03183-2). In SPDX 3.x, the source code is represented as a software_File element (or a Package element for the source package); its verifiedUsing (→ Hash) carries the source hash. closeMatch — the mapping is correct but requires attaching the hash to the source artifact element, not to the deployed Package element.	spdx3-sw:File
bsi:component-security-txt	URL of the security.txt	skos:closeMatch	spdx3-core:externalRef	externalRef	semapv:ManualMappingCuration	bom:security-policy	BSI OPTIONAL. BSI requires the URL of the component creator's security.txt file (RFC 9116) for coordinated vulnerability disclosure. In SPDX 3.x, Element.externalRef with ExternalRefType.securityPolicy is the appropriate mapping (covers disclosure/contact policies). closeMatch — SPDX supports this use case via the externalRef type vocabulary.	spdx3-core:Element
