# curie_map:
#   g7ai: "https://w3id.org/bom/req/g7ai/"
#   bom: "https://w3id.org/bom/"
#   mldcatap: "http://data.europa.eu/it6/"
#   dcat: "http://www.w3.org/ns/dcat#"
#   dcterms: "http://purl.org/dc/terms/"
#   mls: "http://www.w3.org/ns/mls#"
#   adms: "http://www.w3.org/ns/adms#"
#   ai: "https://w3id.org/dpv/ai#"
#   dpv: "https://w3id.org/dpv#"
#   schema: "https://schema.org/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: "https://w3id.org/bom/mapping/g7ai-to-semic"
# mapping_set_version: "0.1.0"
# mapping_set_title: "G7 SBOM for AI minimum elements <-> SEMIC vocabularies"
# mapping_set_description: "Maps the 50 minimum-element concepts from 'SBOM for Artificial Intelligence - Minimum Elements' (G7 Cybersecurity Working Group, 2026-05-12) to terms from DCAT-AP (dcat:, dcterms:), MLDCAT-AP 3.1.0 (mldcatap: = http://data.europa.eu/it6/), W3C Machine Learning Schema (mls:), W3C Data Privacy Vocabulary (dpv:), ADMS (adms:) and Schema.org (schema:). The mldcatap: prefix is an alias for the opaque namespace http://data.europa.eu/it6/ used in MLDCAT-AP; see https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/. Concepts without a meaningful external-vocab mapping (Document author signature, data flow, hash algorithm/value, vulnerability referencing, cybersecurity policy, security controls) are omitted. The bom: bridge concept in see_also is the shared abstraction linking G7 AI to this vocabulary layer and to SPDX 3.1."
# license: "https://creativecommons.org/publicdomain/zero/1.0/"
# creator_id:
#   - "orcid:0000-0002-9698-1899"
# mapping_date: "2026-06-17"
# subject_source: "https://w3id.org/bom/req/g7ai/"
# object_source: "https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/"
# see_also:
#   - "https://www.bsi.bund.de/SharedDocs/Downloads/EN/BSI/KI/SBOM-for-AI_minimum-elements.pdf?__blob=publicationFile&v=4"
#   - "https://w3id.org/bom/"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	see_also	comment
g7ai:sbom-author	Document author	skos:closeMatch	dcterms:creator	creator	semapv:ManualMappingCuration	bom:doc-author	Author of the document document; dcterms:creator is "an entity primarily responsible for making the resource"
g7ai:sbom-author	Document author	skos:closeMatch	schema:author	author	semapv:ManualMappingCuration	bom:doc-author	schema:author on a schema:DigitalDocument is a direct match for the document document author
g7ai:sbom-version	Document version	skos:relatedMatch	dcat:version	version	semapv:ManualMappingCuration	bom:doc-version	dcat:version applies to datasets/distributions; relatedMatch because compliance documents are not canonical DCAT resources but the semantics are analogous
g7ai:sbom-data-format-name	SBOM data format name	skos:relatedMatch	dcterms:conformsTo	conformsTo	semapv:ManualMappingCuration	bom:doc-spec-version	dcterms:conformsTo ("an established standard to which the resource conforms") covers the document format specification; format name is encoded in the choice of conformance target
g7ai:sbom-data-format-version	SBOM data format version	skos:relatedMatch	dcterms:conformsTo	conformsTo	semapv:ManualMappingCuration	bom:doc-spec-version	Same as format name — the version of the format specification is part of the conformance target IRI; no separate dcterms/dcat field for format version
g7ai:sbom-tool-name	SBOM tool name	skos:relatedMatch	dcterms:creator	creator	semapv:ManualMappingCuration	bom:doc-tool	Tool that generated the document is a creator agent; dcterms:creator applies when the tool is modelled as the creating agent; relatedMatch because tool ≠ human creator
g7ai:sbom-tool-name	SBOM tool name	skos:relatedMatch	schema:name	name	semapv:ManualMappingCuration	bom:doc-tool	schema:name on the tool object (a schema:SoftwareApplication) carries the tool name
g7ai:sbom-tool-version	SBOM tool version	skos:relatedMatch	schema:softwareVersion	softwareVersion	semapv:ManualMappingCuration	bom:doc-tool	schema:softwareVersion on the tool's schema:SoftwareApplication object carries the tool version
g7ai:sbom-timestamp	Document timestamp	skos:closeMatch	dcterms:created	created	semapv:ManualMappingCuration	bom:doc-timestamp	dcterms:created is "date of creation of the resource"; Document timestamp is when the document was generated — close match
g7ai:sbom-timestamp	Document timestamp	skos:exactMatch	schema:dateCreated	dateCreated	semapv:ManualMappingCuration	bom:doc-timestamp	schema:dateCreated is the date of creation of the item — exact semantic match for SBOM creation timestamp
