# curie_map:
#   bom: "https://w3id.org/bom/"
#   spdx3-core: "https://spdx.org/rdf/3/terms/Core/"
#   spdx3-sw: "https://spdx.org/rdf/3/terms/Software/"
#   spdx3-ai: "https://spdx.org/rdf/3/terms/AI/"
#   spdx3-ds: "https://spdx.org/rdf/3/terms/Dataset/"
#   spdx3-sec: "https://spdx.org/rdf/3/terms/Security/"
#   spdx3-hw: "https://spdx.org/rdf/3/terms/Hardware/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
# mapping_set_id: "https://w3id.org/bom/mapping/bom-to-spdx31"
# mapping_set_version: "0.1.0"
# mapping_set_title: "SBOM Bridge Concepts <-> SPDX 3.1-dev"
# mapping_set_description: "Maps each concept in the document bridge ontology (bom.ttl) to the corresponding class or property in the SPDX 3.1-dev specification. This is the pivot file enabling first-pass auto-generation of per-standard SPDX 3 crosswalks: a source-standard concept that carries skos:exactMatch or skos:closeMatch to a bridge concept inherits the SPDX 3.1 mapping via a transitive join with this file. Manual per-standard SSSOM files (ntia-to-spdx31.sssom.tsv, g7ai-to-spdx31.sssom.tsv, etc.) override individual rows for higher precision where needed."
# license: "https://creativecommons.org/publicdomain/zero/1.0/"
# creator_id:
#   - "orcid:0000-0002-9698-1899"
# mapping_date: "2026-06-17"
# subject_source: "https://w3id.org/bom/"
# object_source: "https://spdx.github.io/spdx-spec/v3.1-dev/"
# see_also:
#   - "https://spdx.github.io/spdx-spec/v3.1-dev/"
#   - "https://w3id.org/bom/"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	see_also	comment	object_qualifier
bom:bom-document	Bill of Materials Document	skos:closeMatch	spdx3-sw:Sbom	Sbom	semapv:ManualMappingCuration		The BOM document corresponds to the Software.Sbom element (root of the SPDX graph). closeMatch: Sbom is a subclass of Element and carries CreationInfo metadata.	spdx3-sw:Sbom
bom:bom-component	Component	skos:closeMatch	spdx3-core:Artifact	Artifact	semapv:ManualMappingCuration		Generic components (packages, files, snippets, AI models, datasets) all subclass Core.Artifact. closeMatch at the abstract level.	spdx3-core:Artifact
bom:bom-sw	Software Component	skos:closeMatch	spdx3-sw:SoftwareArtifact	SoftwareArtifact	semapv:ManualMappingCuration		Software-specific components (Package, File, Snippet) subclass Software.SoftwareArtifact. closeMatch.	spdx3-sw:SoftwareArtifact
bom:bom-ai	AI System and Model	skos:closeMatch	spdx3-ai:AIPackage	AIPackage	semapv:ManualMappingCuration		AI systems and models are represented as AI.AIPackage elements in the SPDX AI profile. closeMatch.	spdx3-ai:AIPackage
bom:bom-dataset	Dataset	skos:closeMatch	spdx3-ds:DatasetPackage	DatasetPackage	semapv:ManualMappingCuration		Datasets are represented as Dataset.DatasetPackage elements in the SPDX Dataset profile. closeMatch.	spdx3-ds:DatasetPackage
bom:bom-infra	Infrastructure	skos:relatedMatch	spdx3-sw:Package	Package	semapv:ManualMappingCuration		Infrastructure components (container images, ML frameworks, hardware) are typically modelled as Package elements linked via RUNTIME_DEPENDENCY_OF / BUILD_DEPENDENCY_OF relationships, plus Hardware.Hardware for specialised accelerators. relatedMatch: no single SPDX class covers the full infra concept.	spdx3-sw:Package
bom:bom-security	Security	skos:relatedMatch	spdx3-sec:Vulnerability	Vulnerability	semapv:ManualMappingCuration		Security concepts span multiple SPDX profiles: Security.Vulnerability + VEX Relationships for vulnerability referencing, AIPackage.standardCompliance for compliance, externalRef for policies. relatedMatch: no single SPDX class covers the full security concept.	spdx3-sec:Vulnerability
bom:doc-author	Document author	skos:exactMatch	spdx3-core:createdBy	createdBy	semapv:ManualMappingCuration		CreationInfo.createdBy references the Agent(s) — Person, Organization, or Tool — that authored the document. Exact semantic match.	spdx3-core:CreationInfo
bom:doc-timestamp	Document timestamp	skos:exactMatch	spdx3-core:created	created	semapv:ManualMappingCuration		CreationInfo.created is a mandatory xsd:dateTime recording when the document was created. Exact semantic match.	spdx3-core:CreationInfo
bom:doc-lifecycle-stage	SBOM lifecycle stage	skos:closeMatch	spdx3-sw:sbomType	sbomType	semapv:ManualMappingCuration		Software.Sbom.sbomType (SbomType vocabulary: build, analyzed, deployed, runtime, source, etc.) captures the lifecycle context in which the document was generated. closeMatch. Also called SBOM type (FSCT (3rd Ed.)/SPDX) or SBOM generation context (G7/CISA 2025).	spdx3-sw:Sbom
